yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2016/08,7,7.3,2.4,7.1,8.2,1.152,0.109,27.8,286,2052,0.071,0.419,242
2016/09,7.3,8.2,1.8,6.4,8.7,1.725,0.098,22.9,204,10875,0.162,1.095,1960
2016/10,7.3,8.7,1.2,5.2,8.6,2.114,0.097,18.7,190,20000,0.076,1.247,1450
2016/11,7.6,10.6,1.4,4.4,3.9,2.209,0.094,11.8,323,10980,0.06,1.539,140
2016/12,7.8,12.3,1.3,3.9,3.3,2.573,0.056,6.1,356,15875,0.077,2.068,210
2017/01,7.4,11.6,1.5,4.3,4.2,2.898,0.079,3.8,327,2800,0.224,2.256,180
2017/02,7.8,12.5,1.8,4.5,5.6,2.929,0.086,4.8,307,1240,0.222,2.453,200
2017/03,7.7,13.6,4,6.6,13.4,2.255,0.091,10.1,366,1150,0.062,1.553,173
2017/04,8.5,11.4,5.9,11,18.1,1.422,0.109,15.9,329,8188,0.024,0.642,150
2017/05,7.8,10.9,5.8,13.4,21.2,1.626,0.138,20.6,364,610,0.124,0.471,56
2017/06,6.9,7.3,3.9,12.7,12.9,2.142,0.121,23.7,332,1158,0.286,0.919,285
2017/07,7.3,6.6,2.3,8.4,10.3,1.971,0.118,26.9,225,7050,0.162,1.289,1378
2017/08,7.3,7.5,2.5,7.1,21.5,1.404,0.112,26.5,183,15600,0.091,0.953,2218
2017/09,7.2,8.4,1.7,5.8,6.7,1.412,0.08,22.4,221,5300,0.038,0.977,1438
2017/10,7.8,11.6,1.6,5.5,3.7,1.813,0.071,17.2,346,2500,0.092,1.277,275
2017/11,7.9,11.9,4.1,7.3,9.9,1.917,0.07,8.8,493,895,0.192,1.106,73
2017/12,7.4,12.7,3.3,5.9,7.5,2.72,0.067,4.2,363,2075,0.269,2.049,558
2018/01,8,12.1,2.9,5.6,6.7,2.627,0.072,3.3,328,7000,0.246,1.844,574
2018/02,8.2,9.5,3.2,5.8,7.7,2.659,0.095,4,440,1068,0.075,1.887,361
2018/03,7.2,10.7,3.5,7.4,15.6,2.59,0.108,11,261,11450,0.202,1.681,1195
2018/04,7.6,9.8,2.5,6.6,9.2,2.231,0.094,15.6,272,4640,0.064,1.265,380
2018/05,7.4,9.2,2.7,7.2,11.6,2.233,0.131,20.2,253,6525,0.252,1.316,433
2018/06,7.1,6.9,2.9,10.8,8.7,1.858,0.115,24.7,255,2650,0.12,0.81,278
2018/07,7.5,8,3.6,9.6,13.8,1.626,0.125,27.3,276,5040,0.039,0.85,1000
2018/08,7.2,7.4,2.5,8.4,9.4,1.399,0.112,26.9,305,7125,0.028,0.83,1138
2018/09,7.5,9.7,2.1,5.3,7.4,1.922,0.082,23.1,182,8875,0.031,1.032,1570
2018/10,8,11.3,2,5.8,5.6,1.969,0.078,16.2,272,8820,0.032,1.503,1136
2018/11,7.5,10.4,1.8,5.8,5.5,2.035,0.088,11.2,305,5075,0.013,1.539,310
2018/12,7.7,13,1.8,4.3,4.5,2.509,0.071,5.9,319,4400,0.078,2.044,1098
2019/01,7.9,12.5,1.7,4.3,4.6,2.71,0.073,3.4,383,523,0.092,2.166,178
2019/02,7.9,13.1,2.8,6.6,8.5,2.502,0.1,4.7,333,1225,0.13,1.879,190
2019/03,8.4,12.5,4.4,9,17,1.753,0.17,9.5,337,2550,0.036,0.971,346
2019/04,8.2,10.6,4.3,9.5,13.5,1.404,0.161,15.1,315,2908,0.165,0.635,743
2019/05,8,8.2,3.7,8.9,16.3,1.501,0.156,19.7,278,7875,0.272,0.624,722
2019/06,6.9,8.6,3.5,9.8,10.5,1.82,0.144,23.2,252,2900,0.177,0.834,941
2019/07,7.2,7.7,2.6,7.5,10.5,1.856,0.102,25.5,216,17900,0.103,1.14,3196
2019/08,7,7.8,2.6,7.9,6.7,1.13,0.089,27.1,219,11975,0.039,0.648,1813
2019/09,7.2,8.2,1.6,5.7,4.2,1.729,0.077,23.2,236,9880,0.037,1.271,3226
2019/10,7.6,10.3,1.3,4.6,4.1,1.968,0.048,16.8,252,8325,0.031,1.658,2930
2019/11,7.8,9.6,3.4,7,11.4,1.974,0.077,12.6,318,6865,0.05,1.442,2230
2019/12,7.9,11.9,2.9,5.1,6,2.557,0.055,5.9,344,4600,0.077,2.116,1008
