Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
aq_회천2,1.7,5.6,2.176,2.119,1.569,0.073,0.019,0.014,0.006,10.1
aq_회천2,1.3,4.8,2.07,2.019,1.531,0.074,0.06,0.05,0.01,6.1
ar_창녕,3,6.6,3.715,3.256,2.43,0.139,0.205,0.122,0.103,52.9
ar_창녕,3.3,6.3,3.808,3.347,2.392,0.109,0.189,0.116,0.095,60.7
ar_창녕,2.6,6.2,3.529,3.153,2.385,0.067,0.189,0.119,0.098,52.6
ar_창녕,2.7,6,3.572,3.199,2.525,0.07,0.228,0.163,0.119,59.3
ar_창녕,2.8,6.7,4.083,3.703,2.848,0.095,0.252,0.212,0.173,45.1
ar_창녕,1.8,6,3.717,3.517,2.735,0.153,0.195,0.105,0.084,33.1
ar_창녕,2.2,6.7,3.77,3.496,3.182,0.135,0.198,0.083,0.067,36.2
ar_창녕,2.5,6.4,3.506,3.208,2.635,0.064,0.113,0.056,0.034,33.8
ar_창녕,2.5,5.4,3.111,2.924,2.578,0.123,0.058,0.029,0.015,29.2
ar_창녕,2.3,5.3,3.326,3.121,2.28,0.06,0.054,0.03,0.018,26.3
ar_창녕,2,6.1,2.989,2.823,2.008,0.091,0.044,0.027,0.015,22.1
ar_창녕,2.1,7.2,3.253,3.086,2.068,0.09,0.052,0.032,0.016,21.3
ar_창녕,2,7,3.059,2.893,2.095,0.094,0.041,0.02,0.009,24
ar_창녕,2.1,8.7,3.303,3.047,2.35,0.099,0.068,0.03,0.019,38.6
ar_창녕,1.8,7.5,3.047,2.828,2.323,0.082,0.051,0.028,0.013,22
as_황강3,0.6,3.1,1.548,1.371,1.313,0.044,0.051,0.022,0.013,1.9
as_황강3,0.9,3.3,1.568,1.499,1.27,0.045,0.042,0.022,0.012,3.6
as_황강3,1,2.8,1.873,1.672,1.429,0.035,0.046,0.019,0.008,2.6
as_황강3,0.8,2.8,1.609,1.378,1.174,0.029,0.09,0.066,0.034,1.9
as_황강3,1.1,2.5,1.455,1.366,1.148,0.017,0.025,0.011,0.006,3.4
as_황강3,0.8,2.9,1.468,1.427,1.323,0.02,0.038,0.023,0.01,3.4
as_황강3,0.9,2.8,1.5,1.42,1.263,0.022,0.047,0.032,0.024,3.6
as_황강3,1.1,2.9,1.741,1.627,1.374,0.035,0.03,0.285,0.011,3.4
as_황강3,1.1,3.2,1.68,1.503,1.113,0.014,0.029,0.022,0.01,2.3
as_황강3,1.5,3.3,1.61,1.449,1.231,0.026,0.045,0.03,0.016,4.3
as_황강3,1.1,3.1,1.771,1.619,1.298,0.018,0.049,0.039,0.022,2.8
