region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Yeongsan,외도천,2015,5,13,first,slightlybad,0.5,20,9.8,7.5,220,100,0,0,12,0.68,0.06,0.1,130,862,13.7,6.2,149.5,27,94,55.1,2.6,0.28,0.019,7.18,14.3
Nakdong,용산,2015,5,14,first,normal,10.8,21,10.5,8.4,277,95.2,4.8,0,18.6,1.03,0.06,0.22,1074,161,0,22,79.3,10.3,68.1,16.1,6,0.17,0.014,8.9,21.1
Han,이포,2015,5,21,first,normal,3.7,18,8.4,8.2,269,64.5,35.5,0,33.8,4.7,0.64,1.03,790,514,0,26.9,105.3,17.7,44.3,15.3,8.9,0.29,0.062,8.42,53.2
Han,이포D,2015,5,19,first,normal,3.1,19,9.8,7.8,263,84.6,14.9,0.6,24.4,2.39,0.2,0.6,390,331,0,33.8,131.2,21.9,48.5,19.9,9.1,0.31,0.058,8.95,55.6
Han,이포U,2015,5,21,first,normal,1.3,19,10.4,8.4,254,78,20.3,1.8,33.2,4,0.95,1.07,880,466,0,27.6,93.8,10.5,32,11.6,5.6,0.22,0.033,8.48,50.9
Nakdong,창녕,2015,5,8,first,slightlybad,10,22,9.3,7.7,155,100,0,0,16.2,0.53,0.02,0.05,292,116,0,19.7,86.5,12.7,133.2,15.1,4.9,0.16,0.021,9.26,16.5
Geum,청원-1,2015,5,12,first,slightlybad,3.1,13,11.9,8,212,86,13.7,0.3,24.3,1.25,0.55,1.13,1661,600,13.7,57.8,479.1,78.2,81.7,33.7,7.9,0.49,0.219,9.21,48.4
Han,춘성교,2015,5,26,first,normal,1.8,18,10.5,8.2,107,90.7,8.2,1.1,28.9,3.05,0.5,0.95,740,327,0,49,105.7,25.3,67.9,27.8,8.6,0.33,0.041,6.85,53.4
Nakdong,칠곡,2015,5,13,first,slightlybad,11,20,9.5,8.1,267,17.5,75.1,7.4,52.5,9.06,2.15,2.25,4177,949,5.3,39.8,295.6,38.3,78.2,35.6,12.4,0.47,0.074,12.42,54.6
Nakdong,칠곡D,2015,5,6,first,normal,6.5,18,8.9,7.7,270,100,0,0,16.6,0.49,0.03,0.05,349,124,0,22.1,79.6,9.1,58.4,14.2,6.2,0.19,0.021,8.05,21.5
Nakdong,칠곡U,2015,5,13,first,slightlybad,11,20,9.2,8.1,270,92,8,0,17.1,1.26,0.17,0.1,799,157,0,34.4,192.8,24.9,75.8,27.1,9.1,0.48,0.06,10.85,41.5
Han,한탄강4,2015,5,14,first,bad,0.8,20,10.3,8,376,99.3,0.5,0.2,14.9,0.76,0.1,0.27,320,252,0,94.4,8078.6,94,402.9,59.6,10.7,2.11,0.084,5.51,33.5
Nakdong,함안,2015,5,11,first,slightlybad,7.5,20,8.3,7.8,191,100,0,0,22.4,0.91,0.11,0.07,389,186,0,19,86,12.3,127.1,18.9,5.4,0.3,0.02,6.44,16.1
Nakdong,함안D,2015,5,12,first,normal,8,20,9.6,7.8,193,100,0,0,16.9,0.46,0.04,0.04,410,99,0,16.4,47.4,7.1,81.8,9.5,4.4,0.15,0.006,6.8,13.3
Nakdong,함안U,2015,5,11,first,slightlybad,7,20,8,7.9,176,100,0,0,18.8,0.77,0.1,0.07,431,142,0,22.5,90.1,14.5,116.1,17.8,6.4,0.2,0.023,8.53,20.1
Nakdong,형산강6,2015,5,22,first,normal,3.5,22,7.1,8.2,42400,98.3,1.7,0,15.9,1.14,0.11,0.12,749,209,5.4,20.7,176.3,22.5,53.5,19.1,12.3,0.16,0.03,6.66,23.1
Han,홍천강6,2015,5,26,first,slightlybad,1.8,26,8.9,8,209,76.2,20.9,2.8,33.2,4.54,1.24,1.44,1120,617,0,32,141.2,30.3,106.2,43.2,11.1,0.42,0.037,7.64,47
Nakdong,회천2-1,2015,5,7,first,normal,4.2,21,8.2,7.4,127,54,42.4,3.6,33.6,4.11,0.4,1.06,2146,479,0,23.7,119,17.6,107.4,21.8,4.9,0.3,0.051,10.74,19.9
Geum,금강D,2015,6,1,first,slightlybad,3,19,13,8.4,285,96.3,3.7,0,19,0.71,0.07,0.27,485,290,0,32.6,155.8,32.3,77.7,32.6,7.1,0.27,0.071,9.73,32.9
Nakdong,금호강6,2015,6,11,first,bad,1.5,26,10.7,8.9,838,100,0,0,14.1,0.67,0.12,0.13,875,118,17.1,32.4,373.7,113.6,129,73.7,11.1,0.4,0.112,8.76,34.3
Nakdong,논공D,2015,6,12,first,normal,7,24,9,8,497,99.7,0.3,0,21.3,0.78,0.09,0.09,704,135,0,19,55.3,8.7,38.7,10.4,4.5,0.11,0.023,8.47,16.7
Nakdong,덕곡D,2015,6,4,first,normal,4.1,27,8.2,8.3,390,100,0,0,18,0.53,0.05,0.05,338,89,0,15.8,34.3,5.7,32.7,6.6,3.9,0.05,0.003,7.21,11.5
Geum,부여,2015,6,3,first,slightlybad,5.6,22,15.1,9,288,90.4,9.3,0.3,20.8,0.98,0.13,0.42,792,462,0,39.3,222.5,44.4,80.8,41.5,11.3,0.39,0.107,8.63,47.6
Geum,부여D,2015,6,4,first,slightlybad,7,22,14.9,8.9,288,96.3,3.7,0,22.4,1.3,0.16,0.45,692,488,0,32.6,144.8,30.9,74.8,31.9,10.9,0.43,0.063,8.49,35.6
Geum,부여U,2015,6,2,first,slightlybad,6.7,21,13.9,8.8,287,92.8,7.2,0,21.3,1.26,0.24,0.55,772,517,0,29.3,146.5,30.2,59.9,29.3,10.6,0.33,0.081,10.02,43.8
Han,사직,2015,6,4,first,normal,1.4,20,12.6,8.1,39382,93.7,5.5,0.8,24.1,2.91,0.42,0.09,200,393,0,20.7,149.6,27.7,55.2,24.7,14.8,0.39,0.063,4.76,42.7
Han,안성천3,2015,6,30,first,slightlybad,1.8,28,14.5,8.7,437,50.5,46,3.5,40.2,3.51,0.6,1.04,1050,768,10.4,23.9,171.5,29.4,61.7,22,9.6,0.32,0.073,7.59,47.4
Han,양양,2015,6,4,first,normal,0.2,17,9.8,8.4,156,98.7,1.2,0.1,21.6,1.05,0.09,0.25,310,216,0,25.1,81.4,11.3,40,15.7,7.2,0.27,0.019,5.72,26.1
Han,영월1,2015,6,4,first,slightlybad,0.6,25,12.8,8.5,299,94.6,4.7,0.7,20.5,1.55,0.09,2.89,130,242,5.3,25,83,20.4,41.3,19.3,17.2,0.27,0.047,4.75,38.5
Han,임진강7,2015,6,19,first,normal,1.2,24,5.4,7.5,11284,10.6,86.9,2.6,39.2,2.99,0.45,0.87,670,448,0,18.1,79.7,14.3,60.5,20.4,9,0.18,0.046,5.82,51.7
Han,포남,2015,6,4,first,slightlybad,0.5,25,9.5,8.2,383,99.5,0.4,0.1,23.7,0.96,0.05,0.12,190,332,0,18.2,110,20.5,57.5,14.7,8.6,0.3,0.337,5.84,27.5
Nakdong,황지2,2015,6,15,first,bad,0.7,23,9.1,8.5,533,99.3,0.7,0,17.1,1.8,0.18,0.9,1367,252,10.9,63.9,452,44.4,63.2,43.5,44.5,1.87,0.084,6.13,42.9
Geum,갑천5-1,2015,9,15,second,bad,1.8,26,10.4,7.7,884,98.3,1.7,0,24.9,1.36,0.24,0.54,835,529,5.7,57.7,411.1,64.9,58.4,29.7,10.1,0.5,0.441,9,38.9
Nakdong,구포,2015,9,18,second,normal,12.7,23,8.5,8.1,284,97.7,2.3,0,24.6,1.55,0.22,0.2,672,173,0,28.9,75.6,11.9,57.7,15.5,5.5,0.3,0.01,10.17,27.1
Nakdong,낙단D,2015,9,16,second,normal,4.8,25,8.1,8.3,266,98.3,1.7,0,14.4,0.52,0.05,0.07,592,72,0,28.1,50.5,23.7,30,10.1,5.8,0.15,0.004,7.96,17.4
Nakdong,내성천3-1,2015,9,23,second,normal,0.5,22,8.8,8.1,287,98.8,1.2,0,16.1,0.55,0.02,0.07,444,94,0,33.6,56.8,10.7,23.1,6.3,6.1,0.13,0.007,8.6,20.8
Nakdong,논공D,2015,9,22,second,normal,7.8,24,7.7,7.6,437,100,0,0,18.7,0.65,0.04,0.06,424,104,0,28.7,82.9,17.3,43,12.8,7.2,0.25,0.007,9.1,28.1
Nakdong,다사,2015,9,30,second,normal,10.5,23,7.1,7.4,310,56.6,39.7,3.7,50.3,7.24,2.11,1.35,1786,561,0,37.4,133.9,20.9,54.6,29.5,8.2,0.31,0.03,12.59,46.5
Nakdong,다사U,2015,9,30,second,normal,13.3,23,8.8,7.9,314,99.9,0.1,0,21.8,1.18,0.21,0.18,484,127,0,30.8,82.6,13.6,73.9,22.1,6.6,0.19,0.012,10.27,34.8
Nakdong,도남D,2015,9,15,second,normal,6,24,10.1,8.4,267,98.1,1.9,0,12.9,0.55,0.04,0.06,856,75,0,34.9,112.3,16.4,45.6,17.7,8,0.28,0.018,11.18,40.6
Geum,미호천6-1,2015,9,17,second,slightlybad,1.1,22,10.7,7.9,655,98.2,1.8,0,20.5,0.73,0.07,0.19,355,356,0,45.4,288.9,83.5,86.2,51.3,8.6,0.47,0.082,11.09,45.5
Nakdong,병성천-1,2015,9,17,second,normal,0.9,23,8.5,8.2,273,98.4,1.6,0,20.4,0.74,0.08,0.11,531,85,0,31.1,107.1,14.1,44.3,16.3,6.3,0.22,0.018,10.81,35.4
Han,사직,2015,9,16,second,normal,1.4,19,9.8,8.1,3812,98.3,1.6,0.1,19.8,1.59,0.11,0.05,140,353,0,31.1,141.8,34.1,56.8,21.9,13.8,0.36,0.063,5.13,36.2
Nakdong,서낙동강3,2015,9,25,second,slightlybad,2.1,23,5.9,6.9,523,90.9,9.1,0,26.3,3.13,0.78,1.02,1096,427,7.5,50.7,251.1,34.5,84.1,25.5,11.3,0.69,0.075,11.02,44.9
Nakdong,수영강5,2015,9,14,second,bad,3.4,25,6.6,8,49300,15.9,66.9,17.2,53.4,11.08,3.06,2.38,2160,1005,62.2,194.3,1310.9,236,142,47.5,30.1,2.92,0.526,17.58,104.1
Han,신천3,2015,9,23,second,bad,0.2,23,10.4,7.9,2410,99,0.9,0.1,21.5,0.84,0.1,0.42,390,273,0,66,7550.2,118.3,205,116.9,10.3,1,0.087,6.83,36
Han,안성천3,2015,9,9,second,normal,0.7,25,16,8.4,402,46.9,50.2,2.9,47.3,7.13,0.78,0.49,350,692,6.8,29.1,185.2,33.3,55.4,21.2,9.6,0.29,0.046,7.94,36.9
Han,양양,2015,9,17,second,normal,0.4,18,8.9,7.7,101,98.7,1.3,0,23.1,1,0.06,1.05,1060,178,0,27.8,81,11.5,33.1,15.3,6.1,0.22,0.014,6.63,22.4
Geum,연기U,2015,9,21,second,slightlybad,2.2,24,12.4,8.4,523,94,6,0,21,0.77,0.11,0.4,650,482,0,45.8,313.5,72.2,84.1,42.4,9.1,0.49,0.151,10.17,44.5
Geum,영동,2015,9,9,second,slightlybad,1.7,22,8.8,8.2,148,92.9,7.1,0,20,0.68,0.09,0.24,529,580,0,81.6,204.9,48.5,41.4,20.2,6.5,0.55,0.051,9.24,35.9
Geum,영동천2,2015,9,9,second,slightlybad,0.5,21,9.6,7.8,343,89.1,10.9,0,23.6,1.11,0.1,0.33,596,1118,0,50.7,218.5,50.8,31.5,16.1,10.9,0.34,0.03,9.87,39.9
Han,영월1,2015,9,16,second,slightlybad,1.5,19,10,8.1,237,98.2,1.5,0.3,22.5,1.32,0.07,2.33,310,293,5.8,36.5,92.1,22.5,52,23.2,14.7,0.27,0.154,5.14,29
Geum,우산,2015,9,14,second,slightlybad,1.3,23,10.6,8.7,158,93.9,6.1,0,20.7,0.47,0.07,0.33,668,456,0,49.7,202.1,53.8,51.7,25.7,9.1,0.45,0.068,6.64,33.4
Yeongsan,운암,2015,9,30,second,normal,0.3,21,9,7.4,276,100,0,0,19.4,1.01,0.07,0.13,330,170,0,21.9,74.1,21.6,36.5,14.1,8.3,0.15,0.035,8.73,39.8
Han,진위천3,2015,9,9,second,slightlybad,1.8,24,10.4,8,1007,57.2,39.2,3.6,56.6,10.51,0.67,1,1090,1418,16.5,34.6,273,62.2,54.1,25.6,5.7,0.63,0.089,8.58,32.5
Geum,청원-1,2015,9,16,second,slightlybad,2.7,21,8.4,7.8,336,94.7,5.3,0,22.7,0.68,0.2,0.48,772,385,7.7,52.2,411.3,80.7,77.8,34.9,8.1,0.63,0.176,9.33,47.9
Geum,초강2,2015,9,10,second,normal,1.3,21,10.9,8.7,172,95.2,4.8,0,18.2,0.56,0.03,0.16,261,249,0,44.1,145.5,36.7,63.1,26.7,9.6,0.32,0.053,8.04,28
Nakdong,칠곡D,2015,9,30,second,normal,6.4,24,7.9,8.4,368,100,0,0,14.3,0.48,0.03,0.05,358,107,0,28.8,85,11.1,33.9,20.5,6.6,0.24,0.01,9.82,29.9
Han,포남,2015,9,16,second,slightlybad,0.5,19,8.7,8,196,99.5,0.5,0,21.2,0.58,0.02,0.11,120,278,0,26.5,171.6,39.6,75.6,18.9,6.3,0.28,0.766,6.81,28.8
Han,한탄강4,2015,9,23,second,bad,1.6,23,11.5,8.6,351,99.4,0.5,0.1,23.9,0.56,0.03,0.26,330,181,0,47.3,1179.9,59.9,131.4,36.5,9.8,0.7,0.082,7.61,47.4
Han,가평천3,2015,10,15,second,slightlybad,1,16,12,8.4,152,98.8,1.1,0.1,25.8,1.08,0.11,0.19,240,374,0,43.7,238.5,40.8,63.6,25.5,7.9,0.55,0.045,5.71,32.9
Han,강상,2015,10,16,second,normal,6.4,18,10,8.2,332,80.9,16.9,2.2,35.2,3.83,0.47,0.97,460,401,4.2,30.4,118.2,20.9,50.7,17.9,11.3,0.3,0.039,8.34,43.6
Han,경안천11,2015,10,16,second,normal,4.8,17,8.3,7.3,269,22.8,70.6,6.6,62,10.8,2.12,2.05,1800,722,6.7,41.8,169.1,42.3,84.7,36.6,11.6,0.37,0.053,8.76,50.4
Yeongsan,고막원천4,2015,10,12,second,normal,0.7,18,10.6,7.7,225,16.6,77.2,6.3,37.2,5.39,1.58,0.93,865,183,0,16.9,59.2,13.3,48.9,19.9,7.6,0.04,0.026,8.16,47.2
Geum,고부천2,2015,10,14,second,normal,4.3,19,13.4,8.7,289,18,75.6,6.4,45.6,4.95,1.11,0.87,1322,694,4.9,18.4,66.5,13.8,58,17.3,5.8,0.06,0.013,9.17,26.1
Geum,곡교천2,2015,10,21,second,slightlybad,1.1,21,8.3,7.3,1047,94.2,5.8,0,21.3,0.81,0.11,0.11,235,294,9.3,36.9,287.9,98.3,126,43.3,6.4,0.35,0.076,10,39.3
Yeongsan,곡성,2015,10,5,second,normal,0.4,22,10.7,7.7,149,100,0,0,19.3,0.68,0.07,0.19,470,101,0,23.5,104.7,26.1,34.2,15,6.4,0.15,0.07,8.49,58.4
Nakdong,곤양천,2015,10,26,second,slightlybad,1,18,9.8,7.1,220,96.3,3.7,0,6.5,1.08,0.11,0.16,522,124,0,15.9,63.5,31.6,233.6,16.7,3.2,0.19,0.007,5.99,15.7
Yeongsan,광산,2015,10,14,second,verybad,5,20,12.6,7.7,351,45.6,54.4,0,55.9,8.49,4.38,3.84,4995,2439,5.5,36.2,234.9,55.9,37.5,19.1,5.2,0.4,0.176,5.12,37
Yeongsan,광산D,2015,10,14,second,slightlybad,5,20,11.4,7.7,324,98.3,1.7,0,21.9,1.17,0.08,0.26,730,239,0,28.6,146.7,35.6,30.6,16,5.8,0.28,0.081,7.04,37.3
Yeongsan,광산U,2015,10,14,second,slightlybad,2.8,19,12.9,7.9,345,98.5,1.6,0,18.8,1.53,0.07,0.09,485,230,0,38.8,247,63.3,38.3,19.1,5.8,0.47,0.143,9.71,34.1
Yeongsan,광양서천,2015,10,20,second,slightlybad,0.4,22,9.3,8.2,159,97.3,2.7,0,14.2,1.01,0.07,0.35,510,359,0,38.5,245.1,38.2,46.9,21.4,9.3,0.68,0.058,9.19,24.9
Yeongsan,광주2-1,2015,10,15,second,slightlybad,2.2,20,9.3,7.2,423,97.6,2.4,0,21.5,0.92,0.08,0.15,255,184,0,22.4,83.2,24.2,37.2,13.5,4.6,0.11,0.096,7,31.6
Geum,금강,2015,10,5,second,slightlybad,6.6,20,10.2,7.9,424,40.4,54.1,5.5,22.4,1.43,0.3,0.58,902,544,4.1,49.8,272,62,82.5,42,7.3,0.48,0.089,12.34,46.1
Geum,금강D,2015,10,6,second,slightlybad,2.8,20,13,7.9,396,94.1,5.9,0,20.2,0.79,0.06,0.23,329,339,0,34.8,203.6,40.7,85.9,41.3,7.6,0.26,0.067,10.01,36.6
Geum,금강U,2015,10,2,second,slightlybad,3.7,21,9.6,8.7,447,89.6,10.4,0,21.1,1.09,0.16,0.61,926,568,0,42.5,285.7,62.8,80.5,41.7,8.2,0.44,0.09,12.14,45.7
Nakdong,금호강6,2015,10,21,second,slightlybad,2.1,20,9.9,7.1,1020,98.5,1.5,0,19.3,0.69,0.09,0.11,595,111,6,33,210.1,59.1,143.7,51.2,9.4,0.32,0.047,10.64,48.2
Geum,김제,2015,10,23,second,normal,2.5,20,9.4,7.4,1480,57.1,38.9,4,27.8,2.1,0.57,0.96,1304,971,16.8,28.4,132.1,28.8,63.2,25.5,7.9,0.17,0.045,9.97,40.7
Nakdong,남강4-1,2015,10,28,second,normal,3.8,18,11.7,8.4,206,100,0,0,20.1,0.64,0.04,0.06,275,128,0,23.5,91.9,16.2,93.4,14.6,5.3,0.28,0.016,8.09,28.1
Yeongsan,남원,2015,10,6,second,normal,0.5,23,11.5,8.1,153,100,0,0,18.2,0.57,0.05,0.07,245,151,0,22.8,110.5,18.7,26.8,11,4.4,0.17,0.065,10.28,78.2
Yeongsan,남해봉천,2015,10,26,second,slightlybad,0.5,17,9.9,6.9,244,93,6,1,19.2,2.51,0.22,0.23,649,318,0,35.1,172.5,33.3,204.7,36.9,14,0.32,0.023,14.45,36.7
Geum,논산천4,2015,10,19,second,normal,7.1,19,8.9,7.8,393,86.7,13.2,0.1,23.6,1.44,0.23,0.47,772,682,7.3,34.8,173.9,28.1,62.2,26.6,7.9,0.21,0.04,11.93,40.6
Nakdong,다사D,2015,10,21,second,bad,5.7,21,8.1,7.4,490,100,0,0,21.8,1.08,0.1,0.25,505,158,8.7,45.9,372.7,108.2,112.1,49.2,11.6,0.58,0.095,12.64,55.7
Han,달천5,2015,10,7,second,normal,4.8,19,12.1,7,258,29.1,66,4.9,60.6,9.92,2.84,1.37,1060,799,0,34,162.6,26,63.3,28.2,6.6,0.37,0.05,8.21,45.7
Geum,당진천2,2015,10,20,second,normal,0.6,19,10.4,7.7,601,91.5,8.5,0,22.4,0.96,0.08,0.1,257,305,8.2,24.4,113.8,19.6,61.9,22.1,7.8,0.15,0.022,7.47,27.7
Han,대성리,2015,10,21,second,normal,7.5,18,8.5,7,118,84,14.3,1.7,34.1,4.44,0.38,1.04,800,447,0,35,96.5,25.2,62.8,27.6,8.2,0.27,0.04,7.33,35.7
Nakdong,덕곡,2015,10,15,second,slightlybad,7.2,23,9.8,8.2,608,99.3,0.7,0,22.5,1.13,0.23,0.21,462,151,0,33.3,161.6,32.6,72.8,36.5,7.5,0.47,0.051,10.35,45.1
Nakdong,덕곡U,2015,10,15,second,normal,9.9,22,8.5,8.1,653,98.9,1.1,0,25.9,1.46,0.21,0.22,525,229,0,28.9,87.1,13.3,37.1,21.5,5.3,0.23,0.007,10.69,33.3
Yeongsan,돌산천,2015,10,20,second,normal,0.4,21,10.7,8.8,400,86.1,13.9,0,24.2,1.78,0.22,0.63,655,170,6.9,22.2,100.2,41.1,26.2,10.6,3.5,0.24,0.046,8.29,31.2
Yeongsan,동계,2015,10,2,second,normal,0.5,19,9.3,7.6,123,100,0,0,22.8,0.81,0.06,0.16,415,104,0,17.5,70.6,8.7,25,8.7,2.3,0.09,0.011,9.91,27.1
Geum,동진강3,2015,10,15,second,normal,4.7,18,12.5,8.4,457,93,7.1,0,21.4,0.85,0.07,0.09,224,233,4.4,29.3,123.6,22.9,54.7,22.2,12.2,0.18,0.033,11.16,41.2
Yeongsan,동홍천,2015,10,26,second,slightlybad,0.3,16,9.9,7.1,104,96.7,3.3,0,22.4,1.86,0.24,0.99,1140,874,0,28.5,276.7,76.1,86.9,43,4.8,0.27,0.292,11.11,14.5
Nakdong,명촌,2015,10,13,second,normal,1.5,21,7.9,8.5,38900,99.9,0.1,0,22.5,1.1,0.2,0.22,508,86,5.5,29.9,114,18.3,47.6,18.3,13.6,0.24,0.013,9.95,25.2
Yeongsan,무안1,2015,10,19,second,normal,3.5,21,11.4,8,267,11.7,84.7,3.7,43.3,5.33,1.73,1.35,1560,456,0,20.5,95.8,19.2,40.8,16.3,6.1,0.17,0.058,7.85,42.3
Geum,무한천2,2015,10,21,second,normal,1.5,19,14.3,8.1,634,93,7,0,21,0.74,0.07,0.16,410,231,0,38,160.8,32.2,78.5,31.5,9.4,0.18,0.039,10.23,38
Nakdong,밀양강3,2015,10,28,second,slightlybad,2,18,11.3,8.3,275,100,0,0,20.8,1.09,0.11,0.11,446,118,0,39.5,153.2,20.4,58,7.1,19.4,0.34,0.006,8.11,36.6
Nakdong,반변천2-1,2015,10,20,second,normal,4.1,20,9.9,7.2,232,97.9,2.1,0,18.3,1.28,0.13,0.13,677,343,0,17.3,72.6,14,10.8,5.6,3.9,0.22,0.006,9.28,12.1
Han,반월천,2015,10,5,second,slightlybad,0.4,20,13.1,8.2,1822,95.2,4.1,0.7,22.2,0.99,0.07,0.24,150,203,4.7,39.1,190.8,48.2,68.2,28.1,10.4,0.29,0.036,6.91,46.4
Yeongsan,보성강4,2015,10,22,second,normal,0.8,20,10.9,7.9,72,98.3,1.7,0,21.1,1.02,0.1,0.35,535,191,0,19.6,87.9,32,72.4,39.6,12.9,0.2,0.052,5.83,42.2
Yeongsan,보성강7,2015,10,5,second,slightlybad,0.5,21,11.2,8.3,93,100,0,0,16.7,0.64,0.03,0.13,195,282,0,26.5,104.1,52.7,59.5,24.7,7.2,0.17,0.035,8.76,37.2
Geum,부여,2015,10,12,second,normal,5.4,19,9.1,8.2,410,91.1,8.9,0,21.4,1.27,0.19,0.33,557,369,0,42.8,199.2,42.5,82.9,39.5,8.4,0.29,0.063,11.88,39
Geum,부여D,2015,10,13,second,normal,6.3,18,8.9,7.5,408,94.6,5.4,0,22,1.29,0.12,0.19,305,261,0,33.7,150.2,29,82.7,34.5,10.8,0.33,0.054,9.98,32.4
Geum,부여U,2015,10,7,second,slightlybad,7.3,20,10.3,8,447,84.2,14.8,1,20.1,1,0.16,0.31,561,330,0,39.7,216.3,45.2,85.6,42.2,9.8,0.35,0.073,13.23,44.4
Nakdong,삼랑진2,2015,10,29,second,normal,9,19,9.8,8.8,328,100,0,0,17.7,0.69,0.04,0.06,302,85,0,24.1,52.7,8.6,49.3,11.8,6.1,0.16,0.015,9.77,22.2
Han,삼봉리,2015,10,21,second,normal,7.2,18,9.2,7.1,121,92.4,7,0.6,33.4,2.87,0.57,0.6,410,387,9.1,31.3,83,18.2,59.8,25,5.5,0.17,0.022,7.52,30.4
Geum,삽교천3,2015,10,20,second,normal,1.7,18,11.1,7.8,422,91.8,8.2,0,20.6,0.81,0.07,0.12,350,306,7.4,31.6,138.2,30.1,75.9,33.2,10.5,0.19,0.033,11.48,41.2
Nakdong,선산,2015,10,19,second,normal,9.9,22,9,7.1,272,98.8,1.2,0,14.4,1.08,0.19,0.19,669,96,0,28.6,144.5,10.9,29.7,11.7,6.3,0.13,0.02,9.37,26.5
Nakdong,선산U,2015,10,19,second,normal,9.7,21,9.9,7.1,277,96.3,3.7,0,18.8,1.73,0.35,0.41,675,170,0,25.9,61.6,8.7,36.9,11.5,3.5,0.07,0.02,10.45,16.3
Han,선행천,2015,10,5,second,slightlybad,0.2,17,9.7,8.2,883,95.4,4,0.6,23.2,1.17,0.03,1.55,1970,215,0,28.3,105.3,42.6,87.7,28.4,60.8,0.2,0.028,8.1,22
Han,섬강4-1,2015,10,14,second,normal,1.6,17,13.1,8.6,351,99.7,0.3,0,20.8,0.37,0.04,0.11,70,107,0,32.7,85.3,7,19.1,8.5,3.1,0.18,0.017,7.06,22.3
Geum,성동,2015,10,19,second,slightlybad,6.7,19,8.5,7.8,445,85.2,14.5,0.3,24.8,1.67,0.28,0.76,1055,697,0,40.5,173.6,36,83.1,38.1,11.6,0.41,0.06,12.59,41.4
Yeongsan,수어천2,2015,10,20,second,normal,2,21,8.3,7.9,43571,17.8,73.5,8.6,42.4,8.49,2.44,1.85,1940,229,0,20.9,109.9,28.4,56.5,24.9,7.3,0.12,0.056,12.02,74.4
Yeongsan,순천동천3,2015,10,20,second,normal,2.3,20,5.9,7.6,28799,8.3,78.2,13.5,42.9,6.32,1.51,1.22,1805,262,5.2,18.4,88.8,22,59.1,25.9,5.3,0.08,0.037,9.79,63
Geum,양화,2015,10,8,second,normal,10.8,21,10,8.2,414,89.8,10.2,0,20.4,1.27,0.14,0.32,488,482,5.1,29.4,94.3,22.8,67.4,23.5,7.6,0.22,0.037,9.35,29.1
Geum,연기D,2015,10,1,second,slightlybad,5.6,22,10.7,8.6,457,82.2,17.3,0.6,23.6,1.74,0.33,0.71,998,741,5.1,45,298.3,65.2,78.3,39.5,7.3,0.52,0.091,12.87,44.4
Nakdong,연초천2,2015,10,27,second,slightlybad,1,18,9,6.9,279,87.5,10.6,1.9,24.9,3.76,0.57,1.14,1613,471,0,50.8,256.7,45.8,83.2,22.3,13.9,0.67,0.039,7.24,56.4
Nakdong,영강2-1,2015,10,1,second,normal,1,19,9.9,6.9,369,99.3,0.7,0,16.9,0.71,0.08,0.12,491,68,0,25,60.6,12.2,61,10.1,7.3,0.24,0.003,6.4,17.7
Yeongsan,영산포-1,2015,10,13,second,normal,6.9,20,9.2,7.6,201,18,78.6,3.4,44.6,4.56,1.61,0.99,1375,162,0,19.8,68.3,14.3,40.6,15.2,5.6,0.08,0.031,10.94,41.9
Nakdong,예천2,2015,10,1,second,normal,1.7,19,8.8,7.6,236,99.9,0.1,0,14.5,0.51,0.02,0.04,527,108,0,27.1,82.3,16.7,66.8,12,12.4,0.23,0.002,8.49,19
Yeongsan,오수천,2015,10,2,second,normal,0.7,19,9.5,7.4,132,100,0,0,22.4,0.6,0.05,0.23,495,156,0,17.4,67.7,14.3,16.2,6.2,4.4,0.16,0.023,9.57,37.9
Yeongsan,옹포천,2015,10,27,second,slightlybad,1,16,10.2,7.7,319,88,11.6,0.5,27.2,2.71,0.41,0.87,1495,824,5.6,14.1,81,38.5,153.8,72.1,4.6,0.15,0.037,11.03,18.8
Geum,와룡천,2015,10,28,second,normal,1,13,10.5,7.7,303,90.7,9.3,0,20.1,0.68,0.11,0.22,324,377,5.6,38,181.5,36.2,65,34.8,11.2,0.25,0.037,9.65,33.4
Yeongsan,와탄천,2015,10,29,second,normal,1,15,12.7,8.4,439,98.6,1.4,0,22,0.52,0.1,0.21,340,117,4.3,17,87.9,18,36.9,13.8,3.6,0.07,0.025,9.01,35.7
Yeongsan,외도천,2015,10,27,second,normal,0.8,18,9.8,7.9,22721,98.7,1.3,0,12.7,0.71,0.05,0.14,260,837,0,13.8,132.6,33.5,58.3,29.4,4.2,0.12,0.055,11.55,20.7
Yeongsan,요천-1,2015,10,6,second,slightlybad,0.5,21,11.6,7.9,195,100,0,0,19.1,0.35,0.05,0.11,175,134,0,32.2,134.8,53.3,34.5,14.5,6.8,0.33,0.062,7.63,45.1
Geum,웅천천2,2015,10,27,second,normal,3.2,19,0.9,7.3,5955,23.7,66.1,10.2,42.6,4.14,1,0.77,955,453,0,31.9,145.6,24.3,69,26.4,6.6,0.26,0.046,9.98,32.4
Han,원주,2015,10,14,second,normal,1.5,18,10.5,8.4,247,97.2,2.7,0.1,20.2,0.96,0.13,0.23,60,176,0,33.8,94,14.5,37.1,16.4,8.6,0.22,0.022,7.83,34.6
