region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Nakdong,다사,2019,9,25,second,normal,8.8,22,9,8.6,194,48.8,42.6,8.6,47.6,6.61,2.18,1.2,1778,618,0,32.9,142.7,26.2,54.9,26.9,8.5,0.35,0.055,8.93,57
Nakdong,다사D,2019,9,26,second,slightlybad,5.2,21,10.2,7.4,181,97.8,2.2,0,20.4,0.5,0.02,0.06,424,134,0,28.1,182.5,41.8,88,46.5,7.4,0.29,0.054,6.86,42.5
Nakdong,다사U,2019,9,25,second,normal,12.2,22,9,8.5,197,99.4,0.6,0,18.2,0.49,0.05,0.05,398,113,0,36.8,167.2,32.1,60.9,35.1,10.6,0.39,0.066,9,68.8
Han,대신,2019,9,24,second,normal,3.4,19,9.2,8.1,245,78.9,21.1,0,17.2,0.87,0.21,0.29,595,238,5.9,31.8,76.5,10,39.7,12.4,5.4,0.21,0.014,8.81,22.1
Han,대신D,2019,9,18,second,normal,2.7,24,9.1,7.8,246,60.2,39.4,0.4,27.8,3.3,0.93,1.22,1490,592,0,38.6,160.2,24.3,57.7,24.3,7.4,0.35,0.036,11.43,41.3
Han,대신U,2019,9,18,second,normal,4.5,23,8.2,7.8,249,79.8,20.2,0,19.4,0.69,0.11,0.23,390,187,4.9,47.2,127.3,17.3,43.3,16.8,7,0.28,0.031,9.69,30.3
Nakdong,덕곡,2019,9,19,second,slightlybad,14.3,27,12.6,8.9,321,99.2,0.8,0,21.4,0.69,0.07,0.07,462,129,0,36.6,188.4,37,67.5,47.5,8.5,0.38,0.077,8.54,58.4
Nakdong,덕곡U,2019,9,19,second,slightlybad,8.3,26,13,8.9,340,99.6,0.4,0,18.9,0.54,0.04,0.05,415,122,0,39,181.7,35.1,73.9,44.4,10.2,0.36,0.087,8.02,57.6
Nakdong,도남,2019,9,24,second,slightlybad,9.6,18,8.2,7.8,136,63.7,31.8,4.5,30.2,5.17,1.89,1.72,2221,555,0,40,173.6,28.4,59.8,27.5,11,0.49,0.071,9.03,65.8
Nakdong,도남D,2019,9,23,second,normal,6.1,18,9.7,7.4,133,93.1,6.9,0,19.4,0.94,0.14,0.14,404,155,0,28.3,134.8,18.8,57.7,23.3,6.1,0.28,0.045,8.63,37.6
Nakdong,도남U,2019,9,24,second,slightlybad,9.4,18,8.3,7.3,159,94,6,0,20.5,0.82,0.16,0.11,481,146,0,38,175.4,26.7,55.7,27.9,10.9,0.5,0.068,8.95,62.4
Yeongsan,무안1,2019,9,20,second,normal,4.4,26,8.4,7.9,219,14.9,75.1,10.1,43.6,4.91,1.2,1.1,1400,1294,10.4,32.7,188.7,28.3,56.7,24.3,8.9,0.3,0.061,9.77,59.6
Han,반월천,2019,9,20,second,slightlybad,1.3,21,10.4,8,1140,32.4,63.8,3.9,38.1,6.27,1.38,1.67,2107,767,4.3,39.4,185.6,49.9,82.3,35.9,7.4,0.31,0.036,9.42,43.4
Geum,부여,2019,9,23,second,slightlybad,3.8,19,7,7.1,209,98.7,1.3,0,21.7,0.86,0.1,0.41,939,479,0,40.3,220,69.9,86.9,43.6,8.7,0.56,0.077,9.07,67.1
Geum,부여D,2019,9,24,second,slightlybad,8.1,19,7.9,7.8,205,90.2,9.8,0,29.2,2.48,0.22,1.4,2209,819,4.1,37.5,247.3,66.5,74.7,33.8,7.7,0.56,0.072,9.45,65.5
Geum,부여U,2019,9,20,second,slightlybad,3.5,23,13.8,9.4,364,97.8,2.2,0,17.9,0.79,0.09,0.38,917,379,0,37.9,214,77.6,76.1,35.1,7.5,0.6,0.073,9.61,82.1
Yeongsan,석교천,2019,9,19,second,normal,1,26,9.4,8.1,642,14.8,77.3,8,32.1,2.11,1.04,0.46,537,238,3.3,16.8,44.6,12.4,39.4,11.1,2.9,0.18,0.005,5.96,27.3
Nakdong,선산,2019,9,30,second,normal,10.2,23,16.4,10,176,83.8,13.6,2.6,26.3,2.36,0.5,0.49,794,276,0,36.4,145.2,25.1,55.6,28.2,11.4,0.39,0.062,8.83,60.5
Nakdong,선산U,2019,9,30,second,slightlybad,9.9,24,14.8,9.9,178,98.5,1.5,0,16,0.49,0.06,0.08,389,104,0,42.2,179.7,27.2,57.8,30.7,11.7,0.46,0.152,8.63,61.5
Han,선행천,2019,9,20,second,normal,0.5,19,9.6,8.2,407,78.5,21.5,0,23,1.3,0.12,0.24,390,400,5,29.3,92.7,23.4,52.1,18.7,4.9,0.18,0.014,9.5,18.7
Geum,연기,2019,9,30,second,slightlybad,0.8,22,8.1,7.7,411,98.6,1.4,0,21.5,0.75,0.08,0.18,666,356,0,65.9,274.6,96.4,85,38,9.5,0.9,0.059,9.58,71.2
